VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSWTP,USPRSG,USPRSSLP,USPRSSWP,USPRSJFA,USPRSIND,USPRSWI,USPRSTOTAL,USSENR,USSENDFL,USSENLIB,USSENIA,USSENWI,USSENTOTAL,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,RV_TOTAL,turnout,trump_share_2024,harris_share_2024,trump_share_2020,biden_share_2020
270010015,Ball Bluff Twp,15,Ball Bluff Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,203,4,0,177,0,0,177,103,66,1,3,0,0,0,0,0,2,175,90,81,3,1,0,175,112,61,1,174,0,0,0,0,112,59,0,171,119,51,7,177,207,0.8454106280193237,0.5885714285714285,0.3771428571428571,0.5783783783783784,0.4054054054054054
270010025,Beaver Twp,25,Beaver Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,51,1,0,41,0,0,41,21,19,0,0,0,0,0,0,0,1,41,21,20,0,0,0,41,21,20,0,41,0,0,0,0,21,19,0,40,31,7,3,41,52,0.7884615384615384,0.5121951219512195,0.4634146341463415,0.4473684210526316,0.5263157894736842
270010030,Clark Twp,30,Clark Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Evolution,NO,99,3,73,15,0,0,88,56,32,0,0,0,0,0,0,0,0,88,50,37,0,0,0,87,57,29,0,86,0,0,0,0,54,32,0,86,45,39,4,88,102,0.8627450980392157,0.6363636363636364,0.3636363636363636,0.5,0.4878048780487805
270010045,Fleming Twp,45,Fleming Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Evolution,NO,269,6,161,69,0,0,230,152,71,1,0,0,0,0,0,1,2,227,126,90,4,3,0,223,150,74,0,224,0,0,0,0,148,66,0,214,164,53,13,230,275,0.8254545454545454,0.6696035242290749,0.3127753303964757,0.6538461538461539,0.329059829
270010050,Glen Twp,50,Glen Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,375,8,0,337,0,0,337,200,130,3,2,0,0,0,0,0,1,336,174,146,3,4,2,329,214,118,0,332,0,0,0,0,206,119,2,327,231,85,21,337,383,0.8772845953002611,0.5952380952380952,0.3869047619047619,0.5863095238095238,0.4077380952380952
270010055,Haugen Twp,55,Haugen Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Evolution,NO,133,9,90,39,0,0,129,78,49,0,2,0,0,0,0,0,0,129,71,51,1,3,0,126,80,48,0,128,0,0,0,0,75,49,0,124,97,30,2,129,142,0.908450704,0.6046511627906976,0.3798449612403101,0.5333333333333333,0.4380952380952381
270010070,Hill Lake Twp,70,Hill Lake Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,306,12,0,264,0,0,264,180,83,0,1,0,0,0,0,0,0,264,162,97,3,1,0,263,185,76,0,261,0,0,0,0,183,75,0,258,162,77,25,264,318,0.8301886792452831,0.6818181818181818,0.3143939393939394,0.6349809885931559,0.338403042
270010075,Idun Twp,75,Idun Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,164,7,0,140,0,0,140,100,35,1,4,0,0,0,0,0,0,140,94,40,0,4,0,138,101,38,0,139,0,0,0,0,99,37,0,136,101,31,8,140,171,0.8187134502923976,0.7142857142857143,0.25,0.7086614173228346,0.2755905511811024
270010080,Jevne Twp,80,Jevne Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Evolution,NO,267,16,164,57,0,0,221,164,52,1,4,0,0,0,0,0,0,221,152,61,1,1,0,215,167,50,0,217,0,0,0,0,159,48,0,207,131,72,18,221,283,0.7809187279151943,0.7420814479638009,0.2352941176470588,0.6972477064220184,0.2935779816513761
270010085,Kimberly Twp,85,Kimberly Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,146,1,0,130,0,0,130,87,39,0,3,0,0,0,0,1,0,130,76,45,4,0,0,125,88,35,0,123,0,0,0,0,87,34,0,121,79,38,13,130,147,0.8843537414965986,0.6692307692307692,0.3,0.639344262,0.3442622950819672
